gene_symbol	flag	ClinVar_PL_record_count	interpretation
CACNA1I	low_record_burden	6	computed but semantic interpretation limited because record count < 20
CACNA2D1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CACNA2D4	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CACNB1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CACNB2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CACNB4	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CACNG7	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CACUL1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CADM3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CALCRL	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CALHM1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CALM2	low_record_burden	19	computed but semantic interpretation limited because record count < 20
CALM3	low_record_burden	8	computed but semantic interpretation limited because record count < 20
CALR	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CALU	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CAMK1D	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CAMK2B	low_record_burden	17	computed but semantic interpretation limited because record count < 20
CAMK2D	low_record_burden	9	computed but semantic interpretation limited because record count < 20
CAMK2G	low_record_burden	6	computed but semantic interpretation limited because record count < 20
CAMK4	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CAMSAP1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
CAP2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CAPN10	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CAPN15	low_record_burden	7	computed but semantic interpretation limited because record count < 20
CAPN5	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CAPN6	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CAPNS1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CAPZA2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CARD10	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CARD14	low_record_burden	16	computed but semantic interpretation limited because record count < 20
CARD8	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CARNMT1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CARS1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
CARS2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CASP10	low_record_burden	5	computed but semantic interpretation limited because record count < 20
CASP2	low_record_burden	5	computed but semantic interpretation limited because record count < 20
CASQ1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
CASZ1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
CAT	low_record_burden	4	computed but semantic interpretation limited because record count < 20
CATIP	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CATSPER1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CATSPERB	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CAV1	low_record_burden	12	computed but semantic interpretation limited because record count < 20
CAVIN1	low_record_burden	16	computed but semantic interpretation limited because record count < 20
